TIME_PERIOD,Portfolio,Weight,Portfolio strategy,Historical return,Historical variance
2020-03-31,"{""MOM"",""EU""}",0.3173767193699065,Global Minimum Variance portfolio,0.20642292516884025,1.326493923496115
2020-04-30,"{""MOM"",""EU""}",0.2588269216023458,Global Minimum Variance portfolio,0.26363902088837277,1.6333792978583306
2020-05-31,"{""MOM"",""EU""}",0.2381190841033292,Global Minimum Variance portfolio,0.2998016436771175,1.6875088656452053
2020-06-30,"{""MOM"",""EU""}",0.2348754394457505,Global Minimum Variance portfolio,0.2634195760749438,1.662921621521463
2020-07-31,"{""MOM"",""EU""}",0.22970572147254728,Global Minimum Variance portfolio,0.31554333087676617,1.876153786730411
2020-08-31,"{""MOM"",""EU""}",0.25166403954736166,Global Minimum Variance portfolio,0.35576076250059013,1.9063147892887036
2020-09-30,"{""MOM"",""EU""}",0.23373663089144003,Global Minimum Variance portfolio,0.32804945643626804,1.922477208514605
2020-10-31,"{""MOM"",""EU""}",0.22922903458996446,Global Minimum Variance portfolio,0.34908397706511035,1.9284665268770225
2020-11-30,"{""MOM"",""EU""}",0.10373940389141803,Global Minimum Variance portfolio,0.22010784167874836,2.010235831698159
2020-12-31,"{""MOM"",""EU""}",0.08968785982532895,Global Minimum Variance portfolio,0.28892696777603655,2.141003237662276
2021-01-31,"{""MOM"",""EU""}",0.11743184524548565,Global Minimum Variance portfolio,0.3911072982269542,2.3653764910603807
2021-02-28,"{""MOM"",""EU""}",0.11079709238098606,Global Minimum Variance portfolio,0.35747059901549605,2.3766800130082357
2021-03-31,"{""MOM"",""EU""}",0.12949266819647,Global Minimum Variance portfolio,0.37303137430482974,2.385345465994811
2021-04-30,"{""MOM"",""EU""}",0.13482131995994892,Global Minimum Variance portfolio,0.375217268237704,2.3868535337290653
2021-05-31,"{""MOM"",""EU""}",0.12262604807861457,Global Minimum Variance portfolio,0.32068957035003454,2.317471065809933
2021-06-30,"{""MOM"",""EU""}",0.11775505183393213,Global Minimum Variance portfolio,0.3439098408165247,2.283052779977445
2021-07-31,"{""MOM"",""EU""}",0.1229692067093651,Global Minimum Variance portfolio,0.36637970669900294,2.257319804430927
2021-08-31,"{""MOM"",""EU""}",0.1234341794535193,Global Minimum Variance portfolio,0.3498796735850484,2.2463815361444572
2021-09-30,"{""MOM"",""EU""}",0.1148209342686092,Global Minimum Variance portfolio,0.35447776233277345,2.2299926216614017
2021-10-31,"{""MOM"",""EU""}",0.13477200727539845,Global Minimum Variance portfolio,0.4662569955073341,1.9031070484967367
2021-11-30,"{""MOM"",""EU""}",0.13427453411440024,Global Minimum Variance portfolio,0.482382141619148,1.874039525254578
2021-12-31,"{""MOM"",""EU""}",0.13240165457070782,Global Minimum Variance portfolio,0.5249733146160978,1.816826080245022
2022-01-31,"{""MOM"",""EU""}",0.052855038820792816,Global Minimum Variance portfolio,0.4040643789954608,2.096723409946867
2022-02-28,"{""MOM"",""EU""}",0.050776893485863825,Global Minimum Variance portfolio,0.3864591470723183,2.0960926989998705
2022-03-31,"{""MOM"",""EU""}",0.04561514848945079,Global Minimum Variance portfolio,0.4101346667285951,2.122523427926081
2022-04-30,"{""MOM"",""EU""}",0.05919268651070712,Global Minimum Variance portfolio,0.45442474115076187,2.108231894142438
2022-05-31,"{""MOM"",""EU""}",0.06547731883027241,Global Minimum Variance portfolio,0.39336397124221234,1.9976783313048587
2022-06-30,"{""MOM"",""EU""}",0.0631064706444269,Global Minimum Variance portfolio,0.3838987230602717,1.9896690423171948
2022-07-31,"{""MOM"",""EU""}",0.06664599426956666,Global Minimum Variance portfolio,0.3742724373577337,2.0027609298030487
2022-08-31,"{""MOM"",""EU""}",0.0467721217526998,Global Minimum Variance portfolio,0.34258787193222,1.9641377729356098
2022-09-30,"{""MOM"",""EU""}",0.025352877601695877,Global Minimum Variance portfolio,0.34623701883279245,1.8736608192474609
2022-10-31,"{""MOM"",""EU""}",0.036359902280399245,Global Minimum Variance portfolio,0.38870504053546556,1.9254502560437212
2022-11-30,"{""MOM"",""EU""}",0.031014544579815808,Global Minimum Variance portfolio,0.34249511596154997,1.9950943069388472
2022-12-31,"{""MOM"",""EU""}",0.051427684484687874,Global Minimum Variance portfolio,0.3700388862541871,2.033414116877243
2023-01-31,"{""MOM"",""EU""}",0.14583239951369828,Global Minimum Variance portfolio,0.29531930871091916,2.3594881907816747
2023-02-28,"{""MOM"",""EU""}",0.15796036316969103,Global Minimum Variance portfolio,0.3857871875206975,2.2212218363756655
2023-03-31,"{""MOM"",""EU""}",0.16497811047853464,Global Minimum Variance portfolio,0.44843989619843133,2.1135120722240255
2023-04-30,"{""MOM"",""EU""}",0.17849401832060152,Global Minimum Variance portfolio,0.3214628641778382,1.779715298995784
2023-05-31,"{""MOM"",""EU""}",0.19404325655312726,Global Minimum Variance portfolio,0.2638004039330492,1.7303786904228577
2023-06-30,"{""MOM"",""EU""}",0.20653435772772288,Global Minimum Variance portfolio,0.2484895931117975,1.7265473691469477
2023-07-31,"{""MOM"",""EU""}",0.20086690449877095,Global Minimum Variance portfolio,0.14919638522996762,1.605375017344336
2023-08-31,"{""MOM"",""EU""}",0.18174356376502004,Global Minimum Variance portfolio,0.048757164361568045,1.505768788848271
2023-09-30,"{""MOM"",""EU""}",0.18860386339470026,Global Minimum Variance portfolio,-0.03194099820586284,1.5235320706128714
2023-10-31,"{""MOM"",""EU""}",0.1890749285705299,Global Minimum Variance portfolio,-0.08182727875047327,1.6295776679298997
2023-11-30,"{""MOM"",""EU""}",0.22664051434419968,Global Minimum Variance portfolio,-0.0211988588072823,1.6838687309310831
2023-12-31,"{""MOM"",""EU""}",0.24394154881251068,Global Minimum Variance portfolio,-0.10445040512888898,1.4243969580712523
2024-01-31,"{""MOM"",""EU""}",0.23172592544745246,Global Minimum Variance portfolio,-0.18281647035797935,1.272380720226429
2024-02-29,"{""MOM"",""EU""}",0.22711923031082962,Global Minimum Variance portfolio,-0.20486116223949674,1.2679966604826283
2024-03-31,"{""MOM"",""EU""}",0.22740188169919118,Global Minimum Variance portfolio,-0.20483586723005753,1.268015821497694
2024-04-30,"{""MOM"",""EU""}",0.2226140787496221,Global Minimum Variance portfolio,-0.2600997348041408,1.2030942160261409
